Education,Disease
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,High risk 
Some high school,Not high risk
Some high school,Not high risk
Some high school,Not high risk
Some high school,Not high risk
Some high school,Not high risk
Some high school,Not high risk
Some high school,Not high risk
Some high school,Not high risk
Some high school,Not high risk
Some high school,Not high risk
Some high school,Not high risk
Some high school,Not high risk
Some high school,Not high risk
Some high school,Not high risk
Some high school,Not high risk
Some high school,Not high risk
Some high school,Not high risk
Some high school,Not high risk
Some high school,Not high risk
Some high school,Not high risk
Some high school,Not high risk
Some high school,Not high risk
Some high school,Not high risk
Some high school,Not high risk
Some high school,Not high risk
Some high school,Not high risk
Some high school,Not high risk
Some high school,Not high risk
Some high school,Not high risk
Some high school,Not high risk
Some high school,Not high risk
Some high school,Not high risk
Some high school,Not high risk
Some high school,Not high risk
Some high school,Not high risk
Some high school,Not high risk
Some high school,Not high risk
Some high school,Not high risk
Some high school,Not high risk
Some high school,Not high risk
Some high school,Not high risk
Some high school,Not high risk
Some high school,Not high risk
Some high school,Not high risk
Some high school,Not high risk
Some high school,Not high risk
Some high school,Not high risk
Some high school,Not high risk
Some high school,Not high risk
Some high school,Not high risk
Some high school,Not high risk
Some high school,Not high risk
Some high school,Not high risk
Some high school,Not high risk
Some high school,Not high risk
Some high school,Not high risk
Some high school,Not high risk
Some high school,Not high risk
Some high school,Not high risk
Some high school,Not high risk
Some high school,Not high risk
Some high school,Not high risk
Some high school,Not high risk
Some high school,Not high risk
Some high school,Not high risk
Some high school,Not high risk
Some high school,Not high risk
Some high school,Not high risk
Some high school,Not high risk
Some high school,Not high risk
