team,rev_1,rev_2
sec-7-team1,sec-7-team7,sec-7-team6
sec-7-team2,sec-7-team1,sec-7-team7
sec-7-team-3,sec-7-team2,sec-7-team1
sec-7-team4,sec-7-team-3,sec-7-team2
sec-7-team5,sec-7-team4,sec-7-team-3
sec-7-team6,sec-7-team5,sec-7-team4
sec-7-team7,sec-7-team6,sec-7-team5
sec-8-team1,sec-8-team7,sec-8-team6
sec-8-team2,sec-8-team1,sec-8-team7
sec-8-team3,sec-8-team2,sec-8-team1
sec-8-team4,sec-8-team3,sec-8-team2
sec-8-team5,sec-8-team4,sec-8-team3
sec-8-team6,sec-8-team5,sec-8-team4
sec-8-team7,sec-8-team6,sec-8-team5
sec-10-team1,sec-10-team7,sec-10-team6
sec-10-team2,sec-10-team1,sec-10-team7
sec-10-team3,sec-10-team2,sec-10-team1
sec-10-team4,sec-10-team3,sec-10-team2
sec-10-team5,sec-10-team4,sec-10-team3
sec-10-team6,sec-10-team5,sec-10-team4
sec-10-team7,sec-10-team6,sec-10-team5
sec-6-team1,sec-6-team7,sec-6-team6
sec-6-team2,sec-6-team1,sec-6-team7
sec-6-team3,sec-6-team2,sec-6-team1
sec-6-team4,sec-6-team3,sec-6-team2
sec-6-team5,sec-6-team4,sec-6-team3
sec-6-team6,sec-6-team5,sec-6-team4
sec-6-team7,sec-6-team6,sec-6-team5
sec-9-team1,sec-9-team7,sec-9-team6
sec-9-team2,sec-9-team1,sec-9-team7
sec-9-team3,sec-9-team2,sec-9-team1
sec-9-team4,sec-9-team3,sec-9-team2
sec-9-team5,sec-9-team4,sec-9-team3
sec-9-team6,sec-9-team5,sec-9-team4
sec-9-team7,sec-9-team6,sec-9-team5
